начална точка, крайна точка, часове, коментар
хижа Безбог, Попово езеро, 1.15,
хижа Безбог, хижа Пирин, 6,
хижа Безбог, заслон Тевно езеро, 3.30,
хижа Безбог, хижа Демяница, 4.30,
хижа Безбог, Кременски езера, 2.15,
Попово езеро, Кременски езера, 1.30,
хижа Безбог, вр. Безбог, 1.30,
връх Полежан, връх Безбог, 2,
връх Безбог, връх Полежан, 2,
хижа Безбог, връх Полежан, 2.30,
хижа Демяница, връх Полежан, 4, през Газейски езера
Попово езеро, връх Джано, 1.30, 
Попово езеро, връх Дженгал, 1.30, през Самодивски езера
заслон Тевно езеро, връх Дженгал, 1.30, 
заслон Тевно езеро, връх Джано, 2.30,
хижа Демяница, Попово езеро, 3.30,
хижа Гоце Делчев, хижа Безбог, 2.30, по маркирана пътека
хижа Гоце Делчев, хижа Безбог, 0.30, с лифта
хижа Бъндерица, Байкушевата мура, 0.10, асфалт
хижа Бъндерица, пещерата Хана, 0.15,
хижа Бъндерица, връх Вихрен, 3, през Казаните
хижа Бъндерица, връх Вихрен, 3, по Джамджиев ръб
хижа Вихрен, връх Вихрен, 3,
хижа Бъндерица, хижа Вихрен, 0.30,
хижа Бъндерица, заслон Казана, 2, 
хижа Бъндерица, връх Кутело, 3.30,
хижа Бъндерица, заслон Кончето, 4, 
връх Кутело, заслон Кончето, 1.15, 
заслон Кончето, връх Кутело, 1.15, 
връх Вихрен, връх Кутело, 1.15,
Банско, хижа Бъндерица, 4, по маркирана пътека (алтернатива на асфалтовия път)
хижа Демяница, Валявишки езера, 2, 
хижа Демяница, Рибно Василашко езеро, 0.45, 
хижа Демяница, езера Тодорини очи, 2.30,
хижа Демяница, Превалски езера, 1.45,
хижа Демяница, хижа Вихрен, 4.30,
хижа Демяница, хижа Яне Сандански, 5.30,
хижа Демяница, хижа Каменица, 6.00, 
хижа Демяница, заслон Тевно езеро, 3.00 
хижа Демяница, хижа Пирин, 5.30,
хижа Демяница, хижа Безбог, 5.00,
хижа Демяница, връх Малък Типиц, 2.30,
хижа Демяница, връх Каймакчал, 2.30, 
хижа Демяница, Газейско езеро, 2.30, 
хижа Демяница, Стражите, 3.00,
Банско, хижа Демяница, 4.30, по маркирана пътека
Хайдушка поляна, хижа Демяница, 1,
Газейско езеро, Полежан, 1.30,
хижа Яне Сандански, Попинолъшки водопад, 0.10,
хижа Яне Сандански, хижа Каменица, 2,
хижа Яне Сандански, хижа Синаница, 5,
хижа Яне Сандански, хижа Вихрен, 7,
хижа Яне Сандански, хижа Пирин, 7,
хижа Яне Сандански, заслон Тевно езеро, 5,
хижа Яворов, Хайдушката чешма, 0.40,
връх Вихрен, хижа Вихрен, 2.30,
хижа Яворов, Яворова поляна, 1,
хижа Яворов, хижа Бъндерица, 8,
хижа Яворов, заслон Кончето, 4.30,
хижа Яворов, хижа Предел, 5.30,
хижа Яворов, Суходолско езеро, 1,
местност Беталовото, хижа Яворов, 3, разклонът за местност Беталовото (на шосето град Симитли-град Гоце Делчев)
